Time kdamond
1715048880 90000
1715048881 90000
1715048882 90000
1715048884 90000
1715048885 91000
1715048886 89100
1715048887 89100
1715048888 90000
1715048889 90000
1715048891 90000
1715048892 90000
1715048893 89000
1715048894 89100
1715048895 90000
1715048897 90000
1715048898 90000
1715048899 90000
1715048900 89100
1715048901 90000
1715048903 90000
1715048904 90000
1715048905 90000
1715048906 90000
1715048907 90000
1715048909 90000
1715048910 95000
1715048911 90100
1715048912 90000
1715048913 90000
1715048914 90100
1715048916 90000
1715048917 91000
1715048918 90000
1715048919 90000
1715048920 90000
1715048922 90000
1715048923 90000
1715048924 95000
1715048925 97000
1715048926 90000
1715048928 89100
1715048929 90000
1715048930 90000
1715048931 90000
1715048932 90000
1715048934 91000
1715048935 90000
1715048936 94000
1715048937 89100
1715048938 90000
1715048940 90000
1715048941 90000
1715048942 89100
1715048943 90000
1715048944 92000
1715048945 95000
1715048947 90000
1715048948 90000
1715048949 90000
1715048950 90000
1715048951 90000
1715048953 90000
1715048954 90000
1715048955 90000
1715048956 99000
1715048957 90100
1715048959 89100
1715048960 90000
1715048961 90000
1715048962 90000
1715048963 90000
1715048965 90000
1715048966 90000
1715048967 96000
1715048968 89100
1715048969 89100
1715048970 90000
1715048972 90000
1715048973 90000
1715048974 36000
1715048975 77000
1715048977 90000
1715048978 90000
1715048979 91000
1715048980 90000
1715048981 90000
1715048982 90000
1715048984 90000
1715048985 89100
1715048986 90000
1715048987 90000
1715048988 90000
1715048990 90000
1715048991 90000
1715048992 90000
1715048993 90000
1715048994 88100
1715048996 89100
1715048997 89100
1715048998 90000
1715048999 90000
1715049000 89100
1715049002 89100
1715049003 89100
1715049004 89100
1715049005 90000
1715049006 88100
1715049007 90000
1715049009 90000
1715049010 90000
1715049011 91000
1715049012 89100
1715049013 89100
1715049015 89100
1715049016 92000
1715049017 94000
1715049018 96000
1715049019 98000
1715049021 100000
1715049022 100000
1715049023 100000
1715049024 99000
1715049025 99000
1715049027 99000
1715049028 100000
1715049029 100000
1715049030 99000
1715049031 97000
1715049032 98000
1715049034 96000
1715049035 94000
1715049036 95000
1715049037 93000
1715049038 92000
1715049040 89100
1715049041 90000
1715049042 90000
1715049043 90000
1715049044 90000
1715049046 90000
1715049047 90000
1715049048 90000
1715049049 89100
1715049050 90000
1715049052 90000
1715049053 90000
1715049054 90000
1715049055 90000
1715049056 90000
1715049057 90000
1715049059 90000
1715049060 89100
1715049061 89100
1715049062 90000
1715049063 90000
1715049065 91000
1715049066 90000
1715049067 90000
1715049068 90000
1715049069 90000
1715049071 90000
1715049072 89100
1715049073 89100
1715049074 40600
1715049075 69000
1715049077 86000
1715049078 90000
1715049079 91000
1715049080 93000
1715049081 94100
1715049083 97000
1715049084 99000
1715049085 99000
1715049086 100000
1715049087 99000
1715049088 97000
1715049090 95000
1715049091 93000
1715049092 90000
1715049093 90000
1715049094 90000
1715049096 90000
1715049097 90000
1715049098 90000
1715049099 90000
1715049100 91000
1715049102 89100
1715049103 89100
1715049104 89100
1715049105 89100
1715049106 90000
1715049108 90000
1715049109 90000
1715049110 90000
1715049111 90000
1715049112 90000
1715049113 91000
1715049115 91000
1715049116 90000
1715049117 90000
1715049118 90000
1715049119 90000
1715049121 90000
1715049122 91000
1715049123 90000
1715049124 93000
1715049125 96000
1715049127 100000
1715049128 100000
1715049129 99000
1715049130 97000
1715049131 93000
1715049132 89100
1715049134 90000
1715049135 89100
1715049136 90000
1715049137 90000
1715049138 90000
1715049140 90000
1715049141 90000
1715049142 90000
1715049143 90000
1715049144 90000
1715049146 90000
1715049147 90000
1715049148 90000
1715049149 90000
1715049150 91000
1715049152 90000
1715049153 90000
1715049154 90000
1715049155 90000
1715049156 89100
1715049158 89100
1715049159 90000
1715049160 90000
1715049161 93000
1715049162 99000
1715049163 99000
1715049165 95000
1715049166 91000
1715049167 90000
1715049168 90000
1715049169 90000
1715049171 90000
1715049172 90000
1715049173 90000
1715049174 57000
1715049175 38000
1715049177 61000
1715049178 90000
1715049179 90000
1715049180 90000
1715049181 90000
1715049182 89100
1715049184 89100
1715049185 90000
1715049186 90000
1715049187 90000
1715049188 92000
1715049190 95000
1715049191 98000
1715049192 100000
1715049193 99000
1715049194 97000
1715049196 94000
1715049197 91000
1715049198 90000
1715049199 90000
1715049200 90000
1715049202 90000
1715049203 90000
1715049204 89100
1715049205 89100
1715049206 89100
1715049208 89100
1715049209 90000
1715049210 90000
1715049211 90000
1715049212 90000
1715049213 90000
1715049215 90000
1715049216 90000
1715049217 90000
1715049218 90000
1715049219 90000
1715049221 90000
1715049222 90000
1715049223 90000
1715049224 90000
1715049225 90000
1715049227 89100
1715049228 92000
1715049229 96000
1715049230 100000
1715049231 100000
1715049233 97000
1715049234 93000
1715049235 90000
1715049236 89100
1715049237 90100
1715049239 84200
1715049240 97000
1715049242 96000
1715049243 90000
1715049244 90000
1715049245 90000
1715049246 90000
1715049248 89100
1715049249 90000
1715049250 90000
1715049251 90000
1715049252 90000
1715049253 90000
1715049255 90000
1715049256 89100
1715049257 89100
1715049258 89100
1715049259 89100
1715049261 90000
1715049262 89100
1715049263 90000
1715049264 89100
1715049265 90000
1715049267 90000
1715049268 90000
1715049269 90000
1715049270 90000
1715049271 94000
1715049273 97000
1715049274 100000
1715049275 60000
1715049276 28700
1715049277 91000
1715049278 89100
1715049280 89100
1715049281 90000
1715049282 90000
1715049283 90000
1715049284 90000
1715049286 90000
1715049287 90000
1715049288 90000
1715049289 90000
1715049290 90000
1715049292 90000
1715049293 90000
1715049294 97000
1715049295 99000
1715049296 94000
1715049298 90000
1715049299 90000
1715049300 90000
1715049301 90000
1715049302 90000
1715049303 90000
1715049305 90000
1715049306 90000
1715049307 89100
1715049308 89100
1715049309 90000
1715049311 90000
1715049312 90000
1715049313 89100
1715049314 90000
1715049315 90000
1715049317 90000
1715049318 89100
1715049319 93100
1715049320 97000
1715049321 99000
1715049323 96000
1715049324 93100
1715049325 89100
1715049326 90000
1715049327 90000
1715049328 90000
1715049330 90000
1715049331 90000
1715049332 90000
1715049333 90000
1715049334 90000
1715049336 90000
1715049337 89000
1715049338 91000
1715049339 90000
1715049340 89100
